state,storm_type,total_events
TX,Hail,687
KS,wind,473
TX,wind,388
KS,Hail,301
SD,wind,255
NE,Hail,223
SD,Hail,218
OK,wind,197
TX,tornado,188
NE,wind,186
MT,wind,164
OK,Hail,158
ND,Hail,158
MN,Hail,146
CO,Hail,140
MS,tornado,139
KS,tornado,127
WI,Hail,119
MT,Hail,106
MO,wind,103
OK,tornado,99
MO,tornado,98
MO,Hail,98
LA,tornado,97
IA,Hail,95
AL,tornado,95
MN,wind,95
AL,Hail,94
CO,wind,93
NM,Hail,91
AR,Hail,91
IA,wind,89
IL,wind,89
TN,Hail,89
WY,wind,86
ND,wind,84
NC,Hail,81
IN,wind,80
MS,Hail,71
VA,Hail,67
IL,Hail,64
GA,Hail,61
GA,tornado,60
NC,tornado,59
OH,tornado,59
WY,Hail,57
MN,tornado,54
FL,wind,54
CO,tornado,53
IA,tornado,53
MI,Hail,51
VA,wind,49
MD,wind,48
UT,wind,47
LA,Hail,45
NM,wind,44
NE,tornado,44
WI,wind,43
PA,Hail,43
OH,wind,42
IN,Hail,40
NY,Hail,39
NJ,wind,39
IN,tornado,39
PA,wind,39
FL,Hail,38
IL,tornado,37
NH,Hail,35
NC,wind,35
SC,Hail,35
PA,tornado,34
AR,wind,34
KY,wind,33
AZ,Hail,33
WI,tornado,32
MI,wind,31
AR,tornado,31
ID,wind,30
WY,tornado,30
NY,wind,29
KY,tornado,28
OH,Hail,27
AZ,wind,27
KY,Hail,27
LA,wind,26
FL,tornado,25
NJ,Hail,25
VA,tornado,24
SC,wind,24
SD,tornado,23
TN,wind,21
NM,tornado,21
WV,Hail,21
SC,tornado,18
MS,wind,17
TN,tornado,16
MA,wind,16
MD,Hail,16
CA,tornado,16
DE,wind,16
AL,wind,15
ND,tornado,14
NV,wind,13
MA,Hail,11
UT,Hail,11
AZ,tornado,10
ID,Hail,9
NJ,tornado,9
WA,Hail,9
CA,wind,8
GA,wind,8
ME,Hail,7
OR,Hail,6
MI,tornado,6
MD,tornado,6
MT,tornado,6
WV,wind,5
ID,tornado,5
OR,tornado,4
NY,tornado,4
WA,wind,4
OR,wind,4
CT,wind,4
WV,tornado,3
NH,wind,3
CT,Hail,3
XX,wind,3
NV,Hail,3
MA,tornado,3
DC,wind,2
VT,Hail,2
CA,Hail,2
DE,Hail,2
WA,tornado,2
CT,tornado,1
RI,wind,1
DE,tornado,1
VT,wind,1
NV,tornado,1
RI,tornado,1
VT,tornado,1
ME,tornado,1
N,Hail,1
